,artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
0,Martha Tilston,Logged In,Colin,M,50,Freeman,277.89016,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Rockpools,200,1538352117000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
1,Five Iron Frenzy,Logged In,Micah,M,79,Long,236.09424,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Canada,200,1538352180000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
2,Adam Lambert,Logged In,Colin,M,51,Freeman,282.8273,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Time For Miracles,200,1538352394000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
3,Enigma,Logged In,Micah,M,80,Long,262.71302,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Knocking On Forbidden Doors,200,1538352416000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
4,Daft Punk,Logged In,Colin,M,52,Freeman,223.60771,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Harder Better Faster Stronger,200,1538352676000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
5,The All-American Rejects,Logged In,Micah,M,81,Long,208.29995,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Don't Leave Me,200,1538352678000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
6,The Velvet Underground / Nico,Logged In,Micah,M,82,Long,260.46649,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Run Run Run,200,1538352886000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
7,Starflyer 59,Logged In,Colin,M,53,Freeman,185.44281,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Passengers (Old Album Version),200,1538352899000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
8,,Logged In,Colin,M,54,Freeman,,paid,"Bakersfield, CA",PUT,Add to Playlist,1538173362000.0,29,,200,1538352905000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
9,Frumpies,Logged In,Colin,M,55,Freeman,134.47791,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Fuck Kitty,200,1538353084000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
10,Britt Nicole,Logged In,Micah,M,83,Long,229.8771,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Walk On The Water,200,1538353146000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
11,,Logged In,Micah,M,84,Long,,free,"Boston-Cambridge-Newton, MA-NH",GET,Roll Advert,1538331630000.0,8,,200,1538353150000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
12,Edward Sharpe & The Magnetic Zeros,Logged In,Colin,M,56,Freeman,223.58159,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Jade,200,1538353218000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
13,Tesla,Logged In,Micah,M,85,Long,201.06404,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Gettin' Better,200,1538353375000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
14,,Logged In,Micah,M,86,Long,,free,"Boston-Cambridge-Newton, MA-NH",PUT,Thumbs Up,1538331630000.0,8,,307,1538353376000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
15,Stan Mosley,Logged In,Colin,M,57,Freeman,246.69995,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,So-Called Friends,200,1538353441000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
16,Florence + The Machine,Logged In,Micah,M,87,Long,168.64608,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,You've Got The Love,200,1538353576000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
17,Tokyo Police Club,Logged In,Ashlynn,F,0,Williams,166.1122,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Citizens Of Tomorrow,200,1538353668000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
18,Orishas,Logged In,Colin,M,58,Freeman,222.22322,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Represent,200,1538353687000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
19,Ratatat,Logged In,Micah,M,88,Long,229.77261,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Swisha,200,1538353744000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
20,Manolo Garcia,Logged In,Ashlynn,F,1,Williams,283.74159,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Carbon Y Ramas Secas,200,1538353834000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
21,Downhere,Logged In,Colin,M,59,Freeman,223.92118,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Here I Am,200,1538353909000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
22,Modjo,Logged In,Alexi,F,0,Warren,250.93179,paid,"Spokane-Spokane Valley, WA",PUT,NextSong,1532482662000.0,53,What I Mean,200,1538353930000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,54
23,MÃÂ¶tley CrÃÂ¼e,Logged In,Micah,M,89,Long,231.26159,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Sticky Sweet,200,1538353973000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
24,David Bowie,Logged In,Ashlynn,F,2,Williams,174.41914,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Sorrow (1997 Digital Remaster),200,1538354117000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
25,Skillet,Logged In,Colin,M,60,Freeman,233.32526,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Rebirthing (Album Version),200,1538354132000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
26,Edwyn Collins,Logged In,Alexi,F,1,Warren,216.842,paid,"Spokane-Spokane Valley, WA",PUT,NextSong,1532482662000.0,53,You'll Never Know (My Love) (Bovellian 07 Mix),200,1538354180000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,54
27,Telepopmusik,Logged In,Micah,M,90,Long,241.60608,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Smile,200,1538354204000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
28,Kings Of Leon,Logged In,Ashlynn,F,3,Williams,307.46077,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,I Want You,200,1538354291000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
29,Florence + The Machine,Logged In,Colin,M,61,Freeman,219.66322,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Dog Days Are Over (Radio Edit),200,1538354365000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
30,Coldplay,Logged In,Alexi,F,2,Warren,343.32689,paid,"Spokane-Spokane Valley, WA",PUT,NextSong,1532482662000.0,53,For You,200,1538354396000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,54
31,Nine Inch Nails,Logged In,Micah,M,91,Long,373.2371,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Closer,200,1538354445000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
32,Nick Drake,Logged In,Colin,M,62,Freeman,222.92853,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Tomorrow Is A Long Time,200,1538354584000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
33,Campo,Logged In,Ashlynn,F,4,Williams,429.50485,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Mi CorazÃÂ³n,200,1538354598000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
34,Kix,Logged In,Alexi,F,3,Warren,246.25587,paid,"Spokane-Spokane Valley, WA",PUT,NextSong,1532482662000.0,53,Girl Money,200,1538354739000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,54
35,,Logged In,Alexi,F,4,Warren,,paid,"Spokane-Spokane Valley, WA",GET,Downgrade,1532482662000.0,53,,200,1538354749000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,54
36,Lambert_ Hendricks & Ross,Logged In,Colin,M,63,Freeman,139.04934,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Halloween Spooks,200,1538354806000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
37,Edgar Oceransky,Logged In,Micah,M,92,Long,309.62893,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Demasiado Bueno,200,1538354818000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
38,Kanye West,Logged In,Colin,M,64,Freeman,311.84934,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Stronger,200,1538354945000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
39,Eminem,Logged In,Alexi,F,5,Warren,269.03465,paid,"Spokane-Spokane Valley, WA",PUT,NextSong,1532482662000.0,53,My Name Is,200,1538354985000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,54
40,Charttraxx Karaoke,Logged In,Ashlynn,F,5,Williams,225.17506,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Fireflies,200,1538355027000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
41,The Acacia Strain,Logged In,Micah,M,93,Long,178.15465,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Whoa! Shut It Down,200,1538355127000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
42,Hate Eternal,Logged In,Ashlynn,F,6,Williams,207.67302,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Spiritual Holocaust,200,1538355252000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
43,Vampire Weekend,Logged In,Alexi,F,6,Warren,243.04281,paid,"Spokane-Spokane Valley, WA",PUT,NextSong,1532482662000.0,53,The Kids Dont Stand A Chance (Album),200,1538355254000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,54
44,,Logged In,Alexi,F,7,Warren,,paid,"Spokane-Spokane Valley, WA",PUT,Thumbs Up,1532482662000.0,53,,307,1538355255000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,54
45,Redman / Ready Roc,Logged In,Colin,M,65,Freeman,217.91302,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Dis Iz Brick City,200,1538355256000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
46,Scars On Broadway,Logged In,Micah,M,94,Long,196.12689,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,World Long Gone,200,1538355305000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
47,,Logged In,Micah,M,95,Long,,free,"Boston-Cambridge-Newton, MA-NH",PUT,Thumbs Down,1538331630000.0,8,,307,1538355306000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
48,Bram Vermeulen,Logged In,Ashlynn,F,7,Williams,251.42812,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Mamma,200,1538355459000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
49,The All-American Rejects,Logged In,Colin,M,66,Freeman,238.86322,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Move Along,200,1538355473000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
50,Lily Allen,Logged In,Micah,M,96,Long,185.83465,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,22,200,1538355501000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
51,,Logged In,Micah,M,97,Long,,free,"Boston-Cambridge-Newton, MA-NH",GET,Home,1538331630000.0,8,,200,1538355504000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
52,The Last Goodnight,Logged In,Micah,M,98,Long,189.85751,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Pictures Of You,200,1538355686000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
53,,Logged In,Micah,M,99,Long,,free,"Boston-Cambridge-Newton, MA-NH",PUT,Logout,1538331630000.0,8,,307,1538355687000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
54,Death Cab for Cutie,Logged In,Ashlynn,F,8,Williams,290.29832,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,I Will Possess Your Heart (Radio Edit),200,1538355710000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
55,Kings Of Leon,Logged In,Colin,M,67,Freeman,204.2771,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Manhattan,200,1538355711000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
56,,Logged In,Ashlynn,F,9,Williams,,free,"Tallahassee, FL",PUT,Thumbs Up,1537365219000.0,217,,307,1538355711000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
57,,Logged Out,,,100,,,free,,GET,Home,,8,,200,1538355745000,,
58,,Logged Out,,,101,,,free,,GET,Help,,8,,200,1538355807000,,
59,,Logged Out,,,102,,,free,,GET,Home,,8,,200,1538355841000,,
60,,Logged Out,,,103,,,free,,PUT,Login,,8,,307,1538355842000,,
61,,Logged In,Micah,M,104,Long,,free,"Boston-Cambridge-Newton, MA-NH",GET,Home,1538331630000.0,8,,200,1538355855000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
62,Tub Ring,Logged In,Micah,M,105,Long,233.69098,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Invalid,200,1538355875000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
63,BjÃÂ¶rk,Logged In,Colin,M,68,Freeman,348.57751,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Undo,200,1538355915000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
64,Half Pint,Logged In,Ashlynn,F,10,Williams,218.5922,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Dont Close The Door,200,1538356000000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
65,Otis Redding,Logged In,Micah,M,106,Long,151.61424,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,These Arms Of Mine,200,1538356108000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
66,Radiohead,Logged In,Ashlynn,F,11,Williams,141.322,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,I Will (Los Angeles Version),200,1538356218000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
67,Boston,Logged In,Micah,M,107,Long,357.72036,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Don't Look Back,200,1538356259000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
68,The Prodigy,Logged In,Colin,M,69,Freeman,260.07465,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,The Big Gundown,200,1538356263000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
